time,open,high,low,close,tick_volume
2026-06-09 09:30:00,109514.0,109536.0,109509.0,109513.0,300
2026-06-09 09:35:00,109512.0,109522.0,109487.0,109494.0,300
2026-06-09 09:40:00,109496.0,109508.0,109477.0,109498.0,300
2026-06-09 09:45:00,109500.0,109545.0,109500.0,109527.0,300
2026-06-09 09:50:00,109525.0,109565.0,109525.0,109550.0,300
2026-06-09 09:55:00,109552.0,109572.0,109543.0,109572.0,300
2026-06-09 10:00:00,109571.0,109618.0,109566.0,109615.0,300
2026-06-09 10:05:00,109614.0,109637.0,109591.0,109600.0,300
2026-06-09 10:10:00,109601.0,109614.0,109592.0,109602.0,300
2026-06-09 10:15:00,109600.0,109629.0,109584.0,109626.0,300
2026-06-09 10:20:00,109625.0,109648.0,109605.0,109636.0,300
2026-06-09 10:25:00,109637.0,109666.0,109627.0,109633.0,300
2026-06-09 10:30:00,109634.0,109640.0,109604.0,109607.0,300
2026-06-09 10:35:00,109605.0,109608.0,109531.0,109533.0,300
2026-06-09 10:40:00,109535.0,109542.0,109520.0,109534.0,300
2026-06-09 10:45:00,109533.0,109574.0,109529.0,109560.0,300
2026-06-09 10:50:00,109561.0,109561.0,109533.0,109543.0,300
2026-06-09 10:55:00,109544.0,109558.0,109523.0,109530.0,300
2026-06-09 11:00:00,109532.0,109532.0,109470.0,109488.0,300
2026-06-09 11:05:00,109486.0,109496.0,109425.0,109440.0,300
2026-06-09 11:10:00,109442.0,109450.0,109425.0,109433.0,300
2026-06-09 11:15:00,109432.0,109438.0,109400.0,109426.0,300
2026-06-09 11:20:00,109427.0,109452.0,109418.0,109435.0,300
2026-06-09 11:25:00,109436.0,109443.0,109408.0,109416.0,300
2026-06-09 11:30:00,109418.0,109446.0,109409.0,109432.0,300
2026-06-09 11:35:00,109431.0,109456.0,109401.0,109402.0,300
2026-06-09 11:40:00,109403.0,109435.0,109393.0,109434.0,300
2026-06-09 11:45:00,109435.0,109449.0,109415.0,109432.0,300
2026-06-09 11:50:00,109430.0,109445.0,109411.0,109413.0,300
2026-06-09 11:55:00,109412.0,109418.0,109368.0,109368.0,300
2026-06-09 12:00:00,109366.0,109397.0,109358.0,109397.0,300
2026-06-09 12:05:00,109395.0,109434.0,109392.0,109429.0,300
2026-06-09 12:10:00,109427.0,109460.0,109422.0,109452.0,300
2026-06-09 12:15:00,109451.0,109468.0,109448.0,109464.0,300
2026-06-09 12:20:00,109466.0,109466.0,109441.0,109450.0,300
2026-06-09 12:25:00,109448.0,109488.0,109442.0,109452.0,300
2026-06-09 12:30:00,109453.0,109464.0,109371.0,109372.0,300
2026-06-09 12:35:00,109370.0,109380.0,109346.0,109376.0,300
2026-06-09 12:40:00,109377.0,109400.0,109354.0,109356.0,300
2026-06-09 12:45:00,109357.0,109366.0,109343.0,109362.0,300
2026-06-09 12:50:00,109363.0,109381.0,109353.0,109361.0,300
2026-06-09 12:55:00,109363.0,109401.0,109344.0,109391.0,300
2026-06-09 13:00:00,109393.0,109425.0,109391.0,109423.0,300
2026-06-09 13:05:00,109422.0,109430.0,109384.0,109411.0,300
2026-06-09 13:10:00,109410.0,109430.0,109388.0,109423.0,300
2026-06-09 13:15:00,109421.0,109465.0,109416.0,109440.0,300
2026-06-09 13:20:00,109439.0,109461.0,109425.0,109433.0,300
2026-06-09 13:25:00,109432.0,109442.0,109397.0,109401.0,300
2026-06-09 13:30:00,109400.0,109441.0,109384.0,109427.0,300
2026-06-09 13:35:00,109426.0,109430.0,109377.0,109381.0,300
2026-06-09 13:40:00,109382.0,109395.0,109351.0,109388.0,300
2026-06-09 13:45:00,109389.0,109404.0,109366.0,109372.0,300
2026-06-09 13:50:00,109374.0,109389.0,109361.0,109383.0,300
2026-06-09 13:55:00,109381.0,109394.0,109360.0,109365.0,300
2026-06-09 14:00:00,109364.0,109406.0,109364.0,109402.0,300
2026-06-09 14:05:00,109404.0,109448.0,109400.0,109440.0,300
2026-06-09 14:10:00,109442.0,109451.0,109431.0,109439.0,300
2026-06-09 14:15:00,109440.0,109441.0,109395.0,109404.0,300
2026-06-09 14:20:00,109403.0,109452.0,109394.0,109436.0,300
2026-06-09 14:25:00,109437.0,109477.0,109434.0,109459.0,300
2026-06-09 14:30:00,109461.0,109475.0,109438.0,109448.0,300
2026-06-09 14:35:00,109449.0,109460.0,109408.0,109429.0,300
2026-06-09 14:40:00,109428.0,109463.0,109410.0,109451.0,300
2026-06-09 14:45:00,109453.0,109488.0,109442.0,109455.0,300
2026-06-09 14:50:00,109454.0,109516.0,109444.0,109514.0,300
2026-06-09 14:55:00,109515.0,109550.0,109511.0,109520.0,300
2026-06-09 15:00:00,109522.0,109536.0,109499.0,109526.0,300
2026-06-09 15:05:00,109524.0,109557.0,109509.0,109549.0,300
2026-06-09 15:10:00,109547.0,109604.0,109542.0,109596.0,300
2026-06-09 15:15:00,109598.0,109629.0,109589.0,109615.0,300
2026-06-09 15:20:00,109617.0,109629.0,109607.0,109626.0,300
2026-06-09 15:25:00,109624.0,109635.0,109610.0,109627.0,300
2026-06-09 15:30:00,109628.0,109653.0,109620.0,109637.0,300
2026-06-09 15:35:00,109635.0,109635.0,109579.0,109583.0,300
2026-06-09 15:40:00,109584.0,109589.0,109563.0,109574.0,300
2026-06-09 15:45:00,109573.0,109589.0,109556.0,109584.0,300
2026-06-09 15:50:00,109585.0,109588.0,109530.0,109546.0,300
2026-06-09 15:55:00,109547.0,109564.0,109538.0,109549.0,300
2026-06-09 16:00:00,109551.0,109558.0,109516.0,109521.0,300
2026-06-09 16:05:00,109523.0,109590.0,109521.0,109573.0,300
2026-06-09 16:10:00,109575.0,109623.0,109567.0,109604.0,300
2026-06-09 16:15:00,109606.0,109642.0,109606.0,109636.0,300
2026-06-09 16:20:00,109635.0,109645.0,109607.0,109635.0,300
2026-06-09 16:25:00,109634.0,109660.0,109619.0,109622.0,300
2026-06-09 16:30:00,109621.0,109663.0,109618.0,109663.0,300
2026-06-09 16:35:00,109664.0,109685.0,109632.0,109644.0,300
2026-06-09 16:40:00,109643.0,109647.0,109595.0,109612.0,300
2026-06-09 16:45:00,109614.0,109616.0,109570.0,109608.0,300
2026-06-09 16:50:00,109609.0,109635.0,109598.0,109603.0,300
2026-06-09 16:55:00,109601.0,109625.0,109582.0,109586.0,300
2026-06-09 17:00:00,109587.0,109598.0,109571.0,109597.0,300
2026-06-09 17:05:00,109596.0,109618.0,109578.0,109593.0,300
2026-06-09 17:10:00,109591.0,109609.0,109568.0,109571.0,300
2026-06-09 17:15:00,109569.0,109579.0,109546.0,109569.0,300
2026-06-09 17:20:00,109567.0,109567.0,109545.0,109559.0,300
2026-06-09 17:25:00,109557.0,109570.0,109530.0,109549.0,300
2026-06-09 17:30:00,109550.0,109552.0,109507.0,109532.0,300
2026-06-09 17:35:00,109531.0,109532.0,109492.0,109499.0,300
2026-06-09 17:40:00,109501.0,109521.0,109473.0,109484.0,300
2026-06-09 17:45:00,109486.0,109490.0,109458.0,109462.0,300
2026-06-09 17:50:00,109463.0,109470.0,109446.0,109460.0,300
2026-06-09 17:55:00,109459.0,109462.0,109396.0,109421.0,300
2026-06-09 18:00:00,109419.0,109450.0,109402.0,109446.0,300
2026-06-09 18:05:00,109448.0,109471.0,109443.0,109466.0,300
2026-06-09 18:10:00,109465.0,109478.0,109429.0,109434.0,300
2026-06-09 18:15:00,109432.0,109465.0,109423.0,109457.0,300
2026-06-09 18:20:00,109458.0,109462.0,109421.0,109429.0,300
2026-06-09 18:25:00,109430.0,109452.0,109428.0,109438.0,300
2026-06-09 18:30:00,109439.0,109455.0,109436.0,109453.0,300
2026-06-09 18:35:00,109452.0,109482.0,109449.0,109482.0,300
2026-06-09 18:40:00,109484.0,109488.0,109415.0,109416.0,300
2026-06-09 18:45:00,109418.0,109447.0,109411.0,109432.0,300
2026-06-09 18:50:00,109430.0,109459.0,109411.0,109456.0,300
2026-06-09 18:55:00,109458.0,109499.0,109447.0,109494.0,300
2026-06-09 19:00:00,109496.0,109498.0,109435.0,109435.0,300
2026-06-09 19:05:00,109436.0,109444.0,109413.0,109442.0,300
2026-06-09 19:10:00,109441.0,109462.0,109431.0,109457.0,300
2026-06-09 19:15:00,109455.0,109496.0,109448.0,109489.0,300
2026-06-09 19:20:00,109491.0,109491.0,109465.0,109487.0,300
2026-06-09 19:25:00,109488.0,109495.0,109447.0,109486.0,300
2026-06-09 19:30:00,109488.0,109516.0,109482.0,109498.0,300
2026-06-09 19:35:00,109499.0,109531.0,109494.0,109531.0,300
2026-06-09 19:40:00,109532.0,109534.0,109499.0,109506.0,300
2026-06-09 19:45:00,109508.0,109561.0,109508.0,109534.0,300
2026-06-09 19:50:00,109535.0,109539.0,109487.0,109497.0,300
2026-06-09 19:55:00,109498.0,109542.0,109486.0,109539.0,300
2026-06-09 20:00:00,109541.0,109542.0,109513.0,109518.0,300
2026-06-09 20:05:00,109517.0,109572.0,109506.0,109564.0,300
2026-06-09 20:10:00,109565.0,109594.0,109556.0,109564.0,300
2026-06-09 20:15:00,109566.0,109595.0,109566.0,109578.0,300
2026-06-09 20:20:00,109577.0,109603.0,109554.0,109589.0,300
2026-06-09 20:25:00,109588.0,109626.0,109588.0,109625.0,300
2026-06-09 20:30:00,109624.0,109669.0,109619.0,109655.0,300
2026-06-09 20:35:00,109653.0,109662.0,109633.0,109633.0,300
2026-06-09 20:40:00,109634.0,109706.0,109629.0,109694.0,300
2026-06-09 20:45:00,109696.0,109723.0,109691.0,109723.0,300
2026-06-09 20:50:00,109722.0,109739.0,109708.0,109717.0,300
2026-06-09 20:55:00,109715.0,109718.0,109683.0,109693.0,300
2026-06-09 21:00:00,109691.0,109694.0,109667.0,109680.0,300
2026-06-09 21:05:00,109679.0,109679.0,109616.0,109622.0,300
2026-06-09 21:10:00,109623.0,109642.0,109609.0,109638.0,300
2026-06-09 21:15:00,109639.0,109677.0,109638.0,109656.0,300
2026-06-09 21:20:00,109655.0,109666.0,109635.0,109647.0,300
2026-06-09 21:25:00,109646.0,109694.0,109642.0,109694.0,300
2026-06-09 21:30:00,109693.0,109715.0,109690.0,109709.0,300
2026-06-09 21:35:00,109710.0,109726.0,109701.0,109726.0,300
